query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg
q82.sql,4713f85f,4,"1,2,10,13",3,74.591,27.24,2,ok,
q83.sql,5a0e1825,3,"6,10,13",2,4.499,29.47,24,ok,
q84.sql,7a99d437,6,"3,6,8,12,15,20",5,16.491,43.29,16,ok,
q85.sql,29dba323,7,"3,5,10,11,12,17,18",7,24.454,99.08,1,ok,
q86.sql,55ac95df,3,"5,10,13",2,11.982,49.9,100,ok,
q87.sql,4b6c2657,4,"0,8,10",4,3.077,214.55,1,ok,
q88.sql,281b9b71,3,"9,15,22",3,0.548,233.04,1,ok,
q89.sql,c94f5641,10,"0,2,10,22",13,38.963,94.26,100,ok,
q90.sql,3adf7b05,3,"9,15,17",3,0.548,22.05,1,ok,
q91.sql,6363c057,7,"0,3,7,8,10,12,15",6,16.669,51.67,2,ok,
q92.sql,c48683e7,3,"5,10,13",2,11.982,24.83,1,ok,
q93.sql,406abffe,4,"0,6",4,2.612,134.53,100,ok,
q94.sql,0d30ba56,4,"5,10,12,19",3,12.283,50.49,1,ok,
q95.sql,37e2298f,1,5,1,10.071,569.93,1,ok,
q96.sql,b5000cb8,4,"2,9,15,22",3,37.993,32.75,1,ok,
q97.sql,011c8c0c,3,"0,2,10",2,38.914,267.54,1,ok,
q98.sql,068bddc8,3,"2,10,13",2,39.356,107.45,2521,ok,
q99.sql,13a10ce8,4,"0,4,10,21",7,21.651,53.13,90,ok,
