query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
16a.sql,5489c672,7,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,8,342332477,91.84,1,ok,
16b.sql,86632023,7,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,8,342332477,573.77,1,ok,
16c.sql,ce573ba0,7,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,8,342332477,187.4,1,ok,
16d.sql,45d188c3,7,aka_name|cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,8,342332477,169.06,1,ok,
17a.sql,084ad1c2,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,186.42,1,ok,
17b.sql,64d9d260,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,206.49,1,ok,
17c.sql,56013e31,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,193.8,1,ok,
17d.sql,a9ffa97f,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,213.79,1,ok,
17e.sql,6825a8ca,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,175.16,1,ok,
17f.sql,407dd45c,6,cast_info|company_name|keyword|movie_companies|movie_keyword|name|title,7,331516361,303.96,1,ok,
18a.sql,165642a1,6,cast_info|info_type|movie_info|movie_info_idx|name|title,6,601403228,258.8,1,ok,
18b.sql,daf4a211,6,cast_info|info_type|movie_info|movie_info_idx|name|title,6,601403228,132.69,1,ok,
18c.sql,90d787b4,6,cast_info|info_type|movie_info|movie_info_idx|name|title,6,601403228,188.39,1,ok,
19a.sql,84ecdb98,9,aka_name|char_name|cast_info|company_name|info_type|movie_companies|movie_info|name|role_type|title,10,655805480,276.0,1,ok,
19b.sql,412d7fc0,9,aka_name|char_name|cast_info|company_name|info_type|movie_companies|movie_info|name|role_type|title,10,655805480,139.65,1,ok,
19c.sql,47287437,9,aka_name|char_name|cast_info|company_name|info_type|movie_companies|movie_info|name|role_type|title,10,655805480,399.07,1,ok,
19d.sql,0f9bc21a,9,aka_name|char_name|cast_info|company_name|info_type|movie_companies|movie_info|name|role_type|title,10,655805480,509.13,1,ok,
1a.sql,68f9eccf,4,company_type|info_type|movie_companies|movie_info_idx|title,5,62253403,21.09,1,ok,
1b.sql,7d789e98,4,company_type|info_type|movie_companies|movie_info_idx|title,5,62253403,20.41,1,ok,
