query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
24a.sql,ddadfc3b,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer_demographics|customer_address|inventory,12,121649276,30006.38,,error,Query interrupted,11,670450630
24b.sql,9763e200,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|household_demographics|promotion|inventory,12,109412276,30013.53,,error,Query interrupted,11,670450630
25a.sql,de5ee081,8,date_dim|item|warehouse|store_sales|catalog_sales|store_returns|web_returns|catalog_returns|inventory,9,99303100,30029.26,,error,Query interrupted,8,616048378
25b.sql,3dc54d64,8,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|catalog_returns|inventory,9,108728609,30024.85,,error,Query interrupted,8,616048378
25c.sql,a381f622,8,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|web_returns|catalog_returns|inventory,9,106786850,30001.01,,error,Query interrupted,8,616048378
26a.sql,bf70e500,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|customer_address|inventory,12,111724476,30026.53,,error,Query interrupted,11,351277734
26b.sql,9116bcef,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|store|inventory,12,110974956,30035.58,,error,Query interrupted,11,351277734
26c.sql,f8484351,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|store|inventory,12,110974956,30013.62,,error,Query interrupted,11,351277734
27a.sql,ee30e63e,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|customer_demographics|inventory,12,122499276,30008.54,,error,Query interrupted,11,365582680
27b.sql,b3cd6a26,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer_demographics|web_site|inventory,12,120900176,30021.51,,error,Query interrupted,11,365582680
27c.sql,3bed8f36,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|catalog_page|inventory,12,111115092,30018.76,,error,Query interrupted,11,365582680
28a.sql,9d318adb,13,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|household_demographics|web_page|catalog_page|inventory,14,111144792,30003.87,,error,Query interrupted,13,376503289
28b.sql,88019cb1,13,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|customer_demographics|promotion|catalog_page|inventory,14,122648892,30002.23,,error,Query interrupted,13,376503289
28c.sql,a0110d32,13,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer_demographics|household_demographics|customer_address|promotion|inventory,14,121687076,30001.74,,error,Query interrupted,13,376503289
29a.sql,ff187f28,16,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|customer_demographics|household_demographics|customer_address|store|promotion|catalog_page|inventory,17,123428172,30012.79,,error,Query interrupted,16,745082582
29b.sql,a43c0ec2,16,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|customer_demographics|household_demographics|customer_address|promotion|web_page|catalog_page|inventory,17,123428592,30003.59,,error,Query interrupted,16,745082582
29c.sql,e9f5fb45,16,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|customer_demographics|household_demographics|customer_address|promotion|web_page|catalog_page|inventory,17,123428592,30011.35,,error,Query interrupted,16,745082582
2a.sql,84a75f25,4,date_dim|item|warehouse|catalog_returns|inventory,5,38442683,463.33,1,ok,,4,68207896
2b.sql,a55de321,4,date_dim|item|warehouse|web_sales|inventory,5,47217456,873.95,1,ok,,4,68207896
2c.sql,4698925d,4,date_dim|item|warehouse|web_sales|inventory,5,47217456,871.3,1,ok,,4,68207896
2d.sql,4100f276,4,date_dim|item|warehouse|store_sales|inventory,5,74591332,2094.53,1,ok,,4,68207896
30a.sql,90ffd21e,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer_demographics|store|inventory,12,120899756,30010.15,,error,Query interrupted,11,616588730
30b.sql,674381ec,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|customer_demographics|inventory,12,122499276,30003.15,,error,Query interrupted,11,616588730
30c.sql,9e0b3c27,11,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|web_page|inventory,12,110975376,30011.06,,error,Query interrupted,11,616588730
31a.sql,64dbc1d8,10,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|store|inventory,11,109374956,30001.65,,error,Query interrupted,10,639271380
31b.sql,b6f78ef4,10,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|inventory,11,110974476,30003.33,,error,Query interrupted,10,639271380
31c.sql,5a938a4a,10,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|inventory,11,110974476,30022.88,,error,Query interrupted,10,639271380
32a.sql,a664e33c,5,date_dim|item|warehouse|catalog_sales|catalog_returns|inventory,6,58624355,49.9,1,ok,,5,45104918
32b.sql,3c337416,5,date_dim|item|warehouse|store_sales|web_sales|inventory,6,84662708,49.01,1,ok,,5,45104918
