experiment,query_file,cpu_time_ms_T,cpu_time_ms_Tprime,q_error_cpu_time,bytes_scanned_T,bytes_scanned_Tprime,q_error_bytes_scanned
imdb_to_imdb_sizerank,17d.sql,2385.84,5796.46,2.43,331516361.0,389596544.0,1.175
imdb_to_imdb_sizerank,17e.sql,1982.1,1929.9,1.027,331516361.0,399653460.0,1.206
imdb_to_imdb_sizerank,17f.sql,3976.64,8380.39,2.107,331516361.0,590569087.0,1.781
imdb_to_imdb_sizerank,18a.sql,2027.27,859.4,2.359,601403228.0,601403252.0,1.0
imdb_to_imdb_sizerank,18b.sql,1619.12,2305.77,1.424,601403228.0,410183818.0,1.466
imdb_to_imdb_sizerank,19a.sql,1744.87,9043.06,5.183,655805480.0,717714358.0,1.094
imdb_to_imdb_sizerank,19d.sql,2325.42,1264.05,1.84,655805480.0,729897056.0,1.113
imdb_to_imdb_sizerank,1a.sql,130.18,156.62,1.203,62253403.0,64603034.0,1.038
imdb_to_imdb_sizerank,1b.sql,85.35,1.43,59.685,62253403.0,136344995.0,2.19
imdb_to_imdb_sizerank,1c.sql,85.39,314.52,3.683,62253403.0,358967795.0,5.766
imdb_to_imdb_sizerank,1d.sql,110.52,112.66,1.019,62253403.0,62253403.0,1.0
imdb_to_imdb_sizerank,20b.sql,1024.79,18396.39,17.951,340237115.0,720786188.0,2.118
imdb_to_imdb_sizerank,20c.sql,960.24,295.78,3.246,340237115.0,424191445.0,1.247
imdb_to_imdb_sizerank,21a.sql,148.07,2.16,68.551,365042328.0,687677558.0,1.884
imdb_to_imdb_sizerank,21b.sql,132.97,141.94,1.067,365042328.0,365042328.0,1.0
imdb_to_imdb_sizerank,21c.sql,119.82,11.01,10.883,365042328.0,690139978.0,1.891
imdb_to_imdb_sizerank,22d.sql,2854.73,42.74,66.793,375962937.0,691733062.0,1.84
imdb_to_imdb_sizerank,23a.sql,657.26,5889.45,8.961,365463009.0,628014211.0,1.718
imdb_to_imdb_sizerank,23b.sql,390.96,3773.12,9.651,365463009.0,376503275.0,1.03
imdb_to_imdb_sizerank,24a.sql,1374.07,1870.38,1.361,670450630.0,447827830.0,1.497
imdb_to_imdb_sizerank,25a.sql,1366.11,3630.37,2.657,616048378.0,424828968.0,1.45
imdb_to_imdb_sizerank,27a.sql,102.37,4.94,20.723,365582680.0,702442724.0,1.921
imdb_to_imdb_sizerank,27c.sql,77.21,265.1,3.433,365582680.0,583048744.0,1.595
imdb_to_imdb_sizerank,28a.sql,1963.96,6.19,317.279,376503289.0,704680284.0,1.872
imdb_to_imdb_sizerank,28b.sql,803.85,6.12,131.348,376503289.0,737781602.0,1.96
imdb_to_imdb_sizerank,28c.sql,1108.3,5.78,191.747,376503289.0,741477712.0,1.969
imdb_to_imdb_sizerank,29a.sql,356.04,2011.12,5.649,745082582.0,753892916.0,1.012
imdb_to_imdb_sizerank,2a.sql,230.16,93.23,2.469,68207896.0,68207896.0,1.0
imdb_to_imdb_sizerank,2b.sql,110.99,172.89,1.558,68207896.0,341699633.0,5.01
imdb_to_imdb_sizerank,2c.sql,106.38,135.54,1.274,68207896.0,67134544.0,1.016
imdb_to_imdb_sizerank,2d.sql,581.56,116.02,5.013,68207896.0,68207896.0,1.0
imdb_to_imdb_sizerank,30a.sql,1863.72,12960.76,6.954,616588730.0,732899828.0,1.189
imdb_to_imdb_sizerank,30b.sql,688.06,457.26,1.505,616588730.0,718254710.0,1.165
imdb_to_imdb_sizerank,30c.sql,1702.72,279.54,6.091,616588730.0,718254710.0,1.165
imdb_to_imdb_sizerank,31b.sql,930.73,587.05,1.585,639271380.0,439993818.0,1.453
imdb_to_imdb_sizerank,31c.sql,1209.59,255.24,4.739,639271380.0,718254686.0,1.124
imdb_to_imdb_sizerank,32a.sql,21.57,21.03,1.026,45104918.0,44571910.0,1.012
imdb_to_imdb_sizerank,32b.sql,76.21,22.49,3.389,45104918.0,49453652.0,1.096
imdb_to_imdb_sizerank,33a.sql,122.45,293.63,2.398,64723403.0,376623313.0,5.819
imdb_to_imdb_sizerank,33c.sql,170.27,58.26,2.923,64723403.0,302796718.0,4.678
imdb_to_imdb_sizerank,3a.sql,595.51,152.79,3.898,341699294.0,341699294.0,1.0
imdb_to_imdb_sizerank,3b.sql,362.89,153.2,2.369,341699294.0,338094763.0,1.011
imdb_to_imdb_sizerank,3c.sql,961.78,307.92,3.123,341699294.0,341699294.0,1.0
imdb_to_imdb_sizerank,4a.sql,922.6,2.51,367.57,56025513.0,129043753.0,2.303
imdb_to_imdb_sizerank,4b.sql,194.25,75.83,2.562,56025513.0,56025513.0,1.0
imdb_to_imdb_sizerank,4c.sql,1076.3,73.77,14.59,56025513.0,56025513.0,1.0
imdb_to_imdb_sizerank,5a.sql,258.35,1.41,183.227,347927523.0,427464856.0,1.229
imdb_to_imdb_sizerank,5b.sql,491.79,312.14,1.576,347927523.0,358967795.0,1.032
imdb_to_imdb_sizerank,5c.sql,493.3,1179.6,2.391,347927523.0,634114804.0,1.823
imdb_to_imdb_sizerank,6a.sql,807.82,2710.95,3.356,308293359.0,368803479.0,1.196
imdb_to_imdb_sizerank,6b.sql,544.83,306.2,1.779,308293359.0,308293359.0,1.0
imdb_to_imdb_sizerank,6c.sql,839.96,351.9,2.387,308293359.0,634114804.0,2.057
imdb_to_imdb_sizerank,6d.sql,967.58,432.65,2.236,308293359.0,283323990.0,1.088
imdb_to_imdb_sizerank,6e.sql,915.82,1121.41,1.224,308293359.0,308293359.0,1.0
imdb_to_imdb_sizerank,6f.sql,2671.84,67.7,39.466,308293359.0,248466176.0,1.241
imdb_to_imdb_sizerank,7a.sql,166.32,136.49,1.219,378676288.0,266919740.0,1.419
imdb_to_imdb_sizerank,7b.sql,92.06,222.8,2.42,378676288.0,339816761.0,1.114
imdb_to_imdb_sizerank,7c.sql,5048.98,92.43,54.625,378676288.0,330593717.0,1.145
imdb_to_imdb_sizerank,8a.sql,266.82,188.05,1.419,327687351.0,313472504.0,1.045
imdb_to_imdb_sizerank,8b.sql,398.75,344.65,1.157,327687351.0,644930944.0,1.968
imdb_to_imdb_sizerank,8d.sql,598.03,314.79,1.9,327687351.0,327687351.0,1.0
imdb_to_imdb_sizerank,9a.sql,589.2,1110.86,1.885,359090741.0,402003430.0,1.12
imdb_to_imdb_sizerank,9c.sql,541.57,708.88,1.309,359090741.0,395018624.0,1.1
imdb_to_tpcds,10a.sql,211.47,576.81,2.728,302432232.0,50759826.0,5.958
imdb_to_tpcds,10c.sql,255.32,4057.38,15.891,302432232.0,50114059.0,6.035
imdb_to_tpcds,11a.sql,38.87,34.71,1.12,68327928.0,37300538.0,1.832
imdb_to_tpcds,11b.sql,29.85,106.08,3.554,68327928.0,97816208.0,1.432
imdb_to_tpcds,11c.sql,298.08,36.77,8.107,68327928.0,29132001.0,2.345
imdb_to_tpcds,11d.sql,805.33,98.35,8.188,68327928.0,83484080.0,1.222
imdb_to_tpcds,12a.sql,89.8,92.89,1.034,361317773.0,72806783.0,4.963
imdb_to_tpcds,12b.sql,106.31,215.36,2.026,361317773.0,82100500.0,4.401
imdb_to_tpcds,13a.sql,69.43,110.03,1.585,361317787.0,74106806.0,4.876
imdb_to_tpcds,13b.sql,140.65,17997.86,127.962,361317787.0,72342103.0,4.995
imdb_to_tpcds,13c.sql,118.5,164.97,1.392,361317787.0,70605400.0,5.117
imdb_to_tpcds,13d.sql,165.02,23.22,7.107,361317787.0,72486680.0,4.985
imdb_to_tpcds,14a.sql,171.89,407.49,2.371,352739927.0,81351400.0,4.336
imdb_to_tpcds,14b.sql,66.66,271.9,4.079,352739927.0,82100500.0,4.296
imdb_to_tpcds,14c.sql,176.81,231.94,1.312,352739927.0,69337060.0,5.087
imdb_to_tpcds,16a.sql,91.84,14.33,6.409,342332477.0,71749155.0,4.771
imdb_to_tpcds,16b.sql,573.77,368.42,1.557,342332477.0,107734923.0,3.178
imdb_to_tpcds,16c.sql,187.4,4844.09,25.849,342332477.0,71178691.0,4.809
imdb_to_tpcds,16d.sql,169.06,15.54,10.879,342332477.0,80964444.0,4.228
imdb_to_tpcds,17a.sql,186.42,1936.83,10.39,331516361.0,59653891.0,5.557
imdb_to_tpcds,17b.sql,206.49,10.5,19.666,331516361.0,61288023.0,5.409
imdb_to_tpcds,17c.sql,193.8,2551.89,13.168,331516361.0,60927779.0,5.441
imdb_to_tpcds,17d.sql,213.79,4135.58,19.344,331516361.0,70428691.0,4.707
imdb_to_tpcds,17f.sql,303.96,14.57,20.862,331516361.0,80823828.0,4.102
imdb_to_tpcds,18a.sql,258.8,61.34,4.219,601403228.0,93461640.0,6.435
imdb_to_tpcds,18b.sql,132.69,8985.37,67.717,601403228.0,85580428.0,7.027
imdb_to_tpcds,18c.sql,188.39,140.96,1.336,601403228.0,95932004.0,6.269
imdb_to_tpcds,19a.sql,276.0,268.62,1.027,655805480.0,98569123.0,6.653
imdb_to_tpcds,19d.sql,509.13,173.16,2.94,655805480.0,72883837.0,8.998
imdb_to_tpcds,1a.sql,21.09,86.77,4.114,62253403.0,33158651.0,1.877
imdb_to_tpcds,1b.sql,20.41,100.53,4.926,62253403.0,33158651.0,1.877
imdb_to_tpcds,1c.sql,19.0,430.27,22.646,62253403.0,59382527.0,1.048
imdb_to_tpcds,1d.sql,19.89,87.93,4.421,62253403.0,34612075.0,1.799
imdb_to_tpcds,20c.sql,250.83,94.31,2.66,340237115.0,81961947.0,4.151
imdb_to_tpcds,21a.sql,56.84,205.79,3.621,365042328.0,74127630.0,4.925
imdb_to_tpcds,21b.sql,51.13,192.93,3.773,365042328.0,82388383.0,4.431
imdb_to_tpcds,21c.sql,57.33,28.78,1.992,365042328.0,88000307.0,4.148
imdb_to_tpcds,22c.sql,390.33,90.24,4.325,375962937.0,74051366.0,5.077
imdb_to_tpcds,23c.sql,155.06,569.91,3.675,365463009.0,108640499.0,3.364
imdb_to_tpcds,24a.sql,373.28,123.06,3.033,670450630.0,120165299.0,5.579
imdb_to_tpcds,24b.sql,88.32,254.31,2.879,670450630.0,121553025.0,5.516
imdb_to_tpcds,25b.sql,96.16,53.51,1.797,616048378.0,100397749.0,6.136
imdb_to_tpcds,26a.sql,259.53,332.55,1.281,351277734.0,118644707.0,2.961
imdb_to_tpcds,26b.sql,159.57,98.67,1.617,351277734.0,120430850.0,2.917
imdb_to_tpcds,27b.sql,49.53,428.13,8.644,365582680.0,108669299.0,3.364
imdb_to_tpcds,27c.sql,52.33,507.95,9.707,365582680.0,108557066.0,3.368
imdb_to_tpcds,28a.sql,514.38,156.29,3.291,376503289.0,85605866.0,4.398
imdb_to_tpcds,29a.sql,128.87,292.99,2.274,745082582.0,123909672.0,6.013
imdb_to_tpcds,29b.sql,130.04,194.35,1.495,745082582.0,123909672.0,6.013
imdb_to_tpcds,29c.sql,235.41,364.29,1.547,745082582.0,123428972.0,6.037
imdb_to_tpcds,2a.sql,96.72,53.16,1.819,68207896.0,63229054.0,1.079
imdb_to_tpcds,2b.sql,97.85,49.68,1.97,68207896.0,61391428.0,1.111
imdb_to_tpcds,2c.sql,88.47,30.1,2.939,68207896.0,24396176.0,2.796
imdb_to_tpcds,2d.sql,96.09,29.24,3.286,68207896.0,15200203.0,4.487
imdb_to_tpcds,30a.sql,356.18,107.65,3.309,616588730.0,109286366.0,5.642
imdb_to_tpcds,30b.sql,177.08,471.83,2.665,616588730.0,111931649.0,5.509
imdb_to_tpcds,31a.sql,324.65,153.6,2.114,639271380.0,108660299.0,5.883
imdb_to_tpcds,31b.sql,216.05,145.27,1.487,639271380.0,120156299.0,5.32
imdb_to_tpcds,32a.sql,17.15,78.1,4.554,45104918.0,70780584.0,1.569
imdb_to_tpcds,32b.sql,56.44,188.28,3.336,45104918.0,86283852.0,1.913
imdb_to_tpcds,33b.sql,97.9,566.36,5.785,64723403.0,108670259.0,1.679
imdb_to_tpcds,3a.sql,209.17,94.44,2.215,341699294.0,59976924.0,5.697
imdb_to_tpcds,3b.sql,142.39,97.58,1.459,341699294.0,51320052.0,6.658
imdb_to_tpcds,3c.sql,177.22,171.87,1.031,341699294.0,39837722.0,8.577
imdb_to_tpcds,4a.sql,216.03,52.06,4.15,56025513.0,34743691.0,1.613
imdb_to_tpcds,4b.sql,57.72,50.64,1.14,56025513.0,36344098.0,1.542
imdb_to_tpcds,4c.sql,250.21,30.27,8.266,56025513.0,16191226.0,3.46
imdb_to_tpcds,5a.sql,154.28,101.29,1.523,347927523.0,52316655.0,6.65
imdb_to_tpcds,5b.sql,137.05,234.98,1.715,347927523.0,69307300.0,5.02
imdb_to_tpcds,5c.sql,147.97,88.54,1.671,347927523.0,40869255.0,8.513
imdb_to_tpcds,6a.sql,127.97,408.61,3.193,308293359.0,58881176.0,5.236
imdb_to_tpcds,6b.sql,68.34,624.22,9.134,308293359.0,68991472.0,4.469
imdb_to_tpcds,6c.sql,56.86,18.44,3.084,308293359.0,37930967.0,8.128
imdb_to_tpcds,6d.sql,166.07,6.26,26.529,308293359.0,58174355.0,5.299
imdb_to_tpcds,6e.sql,122.46,22.12,5.536,308293359.0,38133299.0,8.085
imdb_to_tpcds,6f.sql,361.32,8238.43,22.801,308293359.0,65938948.0,4.675
