experiment,query_file,cpu_time_ms_T,cpu_time_ms_Tprime,q_error_cpu_time,bytes_scanned_T,bytes_scanned_Tprime,q_error_bytes_scanned
tpch_to_tpcds,q15.sql,64.36,1.86,34.602,108021870.0,35235000.0,3.066
tpch_to_tpcds,q16.sql,129.54,79.78,1.624,12200000.0,48970052.0,4.014
tpch_to_tpcds,q17.sql,59.25,2.7,21.944,110621870.0,36695980.0,3.015
tpch_to_tpcds,q18.sql,351.97,4.16,84.608,127221870.0,46767356.0,2.72
tpch_to_tpcds,q19.sql,172.43,77.11,2.236,110621870.0,35685000.0,3.1
tpch_to_tpcds,q20.sql,103.79,8.01,12.958,150125.0,2588106.0,17.24
tpch_to_tpcds,q21.sql,319.77,4264.47,13.336,124671995.0,38442583.0,3.243
tpch_to_tpcds,q22.sql,89.56,77.9,1.15,8000.0,35685000.0,4460.625
tpch_to_tpch,q01.sql,216.21,28.49,7.589,108021870.0,108021870.0,1.0
tpch_to_tpch,q03.sql,125.61,86.67,1.449,127221870.0,127221870.0,1.0
tpch_to_tpch,q04.sql,122.71,14.83,8.274,16500000.0,16500000.0,1.0
tpch_to_tpch,q05.sql,127.73,255.66,2.002,127372015.0,136971995.0,1.075
tpch_to_tpch,q06.sql,33.6,22.52,1.492,108021870.0,108021870.0,1.0
tpch_to_tpch,q07.sql,131.0,145.48,1.111,127245995.0,139572015.0,1.097
tpch_to_tpch,q08.sql,94.65,120.03,1.268,127388015.0,139572015.0,1.096
tpch_to_tpch,q09.sql,421.99,173.24,2.436,134287995.0,139572015.0,1.039
tpch_to_tpch,q10.sql,251.96,98.46,2.559,127221995.0,127271870.0,1.0
tpch_to_tpch,q12.sql,86.62,113.64,1.312,124521870.0,124521870.0,1.0
tpch_to_tpch,q13.sql,428.55,16.71,25.646,16508000.0,19200125.0,1.163
tpch_to_tpch,q14.sql,58.37,46.98,1.242,110621870.0,110621870.0,1.0
tpch_to_tpch,q15.sql,64.36,22.51,2.859,108021870.0,108021870.0,1.0
tpch_to_tpch,q17.sql,59.25,131.34,2.217,110621870.0,124521870.0,1.126
tpch_to_tpch,q18.sql,351.97,74.15,4.747,127221870.0,124671870.0,1.02
tpch_to_tpch,q19.sql,172.43,38.45,4.485,110621870.0,108171870.0,1.023
tpch_to_tpch,q20.sql,103.79,2.07,50.14,150125.0,150125.0,1.0
tpch_to_tpch,q21.sql,319.77,71.29,4.485,124671995.0,120371870.0,1.036
tpch_to_tpch,q22.sql,89.56,37.76,2.372,8000.0,108171870.0,13521.484
tpch_to_tpch_sizerank,q01.sql,216.21,252.03,1.166,108021870.0,108021870.0,1.0
tpch_to_tpch_sizerank,q03.sql,125.61,367.36,2.925,127221870.0,127221870.0,1.0
tpch_to_tpch_sizerank,q04.sql,122.71,16.6,7.392,16500000.0,16500000.0,1.0
tpch_to_tpch_sizerank,q05.sql,127.73,480.53,3.762,127372015.0,136971995.0,1.075
tpch_to_tpch_sizerank,q06.sql,33.6,26.9,1.249,108021870.0,108021870.0,1.0
tpch_to_tpch_sizerank,q07.sql,131.0,359.5,2.744,127245995.0,139572015.0,1.097
tpch_to_tpch_sizerank,q08.sql,94.65,140.1,1.48,127388015.0,139572015.0,1.096
tpch_to_tpch_sizerank,q09.sql,421.99,170.62,2.473,134287995.0,139572015.0,1.039
tpch_to_tpch_sizerank,q10.sql,251.96,122.16,2.063,127221995.0,127271870.0,1.0
tpch_to_tpch_sizerank,q12.sql,86.62,63.8,1.358,124521870.0,124521870.0,1.0
tpch_to_tpch_sizerank,q13.sql,428.55,37.34,11.477,16508000.0,19200125.0,1.163
tpch_to_tpch_sizerank,q14.sql,58.37,57.11,1.022,110621870.0,110621870.0,1.0
tpch_to_tpch_sizerank,q15.sql,64.36,28.78,2.236,108021870.0,108021870.0,1.0
tpch_to_tpch_sizerank,q17.sql,59.25,146.23,2.468,110621870.0,124521870.0,1.126
tpch_to_tpch_sizerank,q18.sql,351.97,92.58,3.802,127221870.0,124671870.0,1.02
tpch_to_tpch_sizerank,q19.sql,172.43,47.27,3.648,110621870.0,108171870.0,1.023
tpch_to_tpch_sizerank,q20.sql,103.79,2.57,40.385,150125.0,150125.0,1.0
tpch_to_tpch_sizerank,q21.sql,319.77,83.7,3.82,124671995.0,120371870.0,1.036
tpch_to_tpch_sizerank,q22.sql,89.56,47.89,1.87,8000.0,108171870.0,13521.484
